Date,Subject,RootDirectory,Directory,Tag,StimulusSuite,Weight,Chamber,Rig,Electrode,Lens,oe2dat,StimulusProtocols,SpikeSorting,LfpPhaseCorrection,numChannels,numUnits,ElectrodeManufacturer,ImportFun,Eyetracker,numSingleUnit,GratingSubspace,shank,retx,rety,retc1,retc2,retc4,deadChan
15-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-15_12-35-09_Shank2D18B,ellie_20170815b,PLDAPS,394,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,24,Atlas,importFreeViewingPLDAPS,Eyelink1000,6,1,1,1.35213679773036,-1.5579097377517,0.954199802319973,0.189340577357684,0.492459549758129,None
16-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-16_13-57-12_Shank2D19MT8,ellie_20170816,PLDAPS,404,"V1,MT",Propixx,MTSingleV132,1,1,"ITI,csdFlash,faceForage,fixFlash,hartleyFF,mtDotRcMap,natImgBackground",Kilo,1,32,40,Atlas,importFreeViewingPLDAPS,Eyelink1000,7,1,1,1.41491108322772,-1.20406336380037,0.954199802319973,0.271401448576973,0.492459549758129,None
17-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-17_11-13-34_Shank2D20,ellie_20170817,PLDAPS,402,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,40,Atlas,importFreeViewingPLDAPS,Eyelink1000,11,1,1,1.35213679773036,-1.5579097377517,0.954199802319973,0.189340577357684,0.492459549758129,None
18-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-18_12-13-26_Shank2D21,ellie_20170818,PLDAPS,400,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,46,Atlas,importFreeViewingPLDAPS,Eyelink1000,11,1,1,1.35213679773036,-1.5579097377517,0.954199802319973,0.189340577357684,0.492459549758129,None
24-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-24_12-17-38_Shank2D23,ellie_20170824,PLDAPS,396,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,35,Atlas,importFreeViewingPLDAPS,Eyelink1000,9,1,1,1.35213679773036,-1.5579097377517,0.954199802319973,0.189340577357684,0.492459549758129,None
28-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-28_13-27-03_Shank2D24,ellie_20170828,PLDAPS,398,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,20,Atlas,importFreeViewingPLDAPS,Eyelink1000,4,1,1,1.35213679773036,-1.5579097377517,0.954199802319973,0.189340577357684,0.492459549758129,None
14-Aug-0018,Ellie,PLDAPS/Ellie,Ellie_2018-08-14_10-15-50_ShankBV1D12,ellie_20180814,PLDAPS,NaN,"V1",Propixx,,1,1,"faceForage,hartleyFF,natImgBackground,psaForage,squareFlash",Kilo,1,32,9,Atlas,importFreeViewingPLDAPS,Eyelink1000,1,1,2,NaN,NaN,NaN,NaN,NaN,None
06-Dec-0018,Ellie,PLDAPS/Ellie,Ellie_2018-12-06_11-17-31_shankE,ellie_20181206,PLDAPS,NaN,"V1",Propixx,,1,1,"natImgBackground,squareFlash,hartleyFF",Kilo,1,32,15,Atlas,importFreeViewingPLDAPS,Eyelink1000,5,1,3,-0.0402244721853439,-1.70235055660523,0.359536015266707,-0.0304219691097057,0.383075508051198,None
23-Dec-0018,Ellie,PLDAPS/Ellie,Ellie_2018-12-23_11-39-34_shankE,ellie_20181223,PLDAPS,NaN,"V1",Propixx,,1,1,"ITI,csdFlash,natImgBackground,squareFlash,hartleyFF,HDmovies",Kilo,1,32,20,Atlas,importFreeViewingPLDAPS,Eyelink1000,12,1,3,-0.142016394582547,-1.88190195381159,0.612062065359182,-0.0235290257573834,1.14739075534673,None
24-Dec-0018,Ellie,PLDAPS/Ellie,Ellie_2018-12-24_11-06-11_ShankE,ellie_20181224,PLDAPS,NaN,"V1",Propixx,,1,1,"ITI,csdFlash,hartleyFF,natImgBackground,squareFlash,HDmovies",Kilo,1,32,16,Atlas,importFreeViewingPLDAPS,Eyelink1000,5,1,3,0.15021308165086,-1.93827836173873,0.479021107604014,-0.0660466020851641,0.672650783106496,None
